id	concept	when	how	example
83635d32-5da5-42c1-8c2d-2edf2fd70134	You add LLM-based answer scoring to a spaced-repetition app. The evaluator returns a quality score. What is the key architectural rule for where `recordAnswer()` must be called, and why?		Only an explicit user action (✓/✗ click) may call `recordAnswer()` — never the evaluator itself.
7c8232d8-bef3-488a-b4cf-1a44a86eaa6b	When can you replace cosine similarity with a plain dot product?		When both vectors are unit vectors (magnitude = 1). Cosine similarity = dot(a,b) / (|a|·|b|) — if magnitudes are 1, it's just dot(a,b).
79556447-3a30-45ef-9a76-e8c2ae2b2bf1	State Ownership Level Matching Concern Scope	When deciding where in a component hierarchy to place a piece of state, especially when multiple sibling components interact with a shared resource.	Ask: what is the scope of the question this state answers? If the question is 'Is this specific component active?', the state belongs inside that component. If the question is 'Is any component in this group active?', it belongs in a shared ancestor. Mismatching creates either over-blocking (state too high, all instances affected by one) or collision (state too low, per-instance values conflict where global uniqueness is required).	The 'streaming' boolean belonged inside each ChatPanel because it answered 'Is this panel streaming?' Moving it from App into each panel let panels stream independently. But the stream ID counter could not follow it into the component because it answered an implicitly global question: 'What is the next unique ID across all panels?'
6a6c353d-c014-4f98-8451-a49ccc0194be	Module-Scope Variables as Cross-Instance Singletons	When multiple instances of the same component need to share a single, persistent, incrementing resource such as a unique ID counter, a registry, or a shared sequence.	Variables declared at module scope (outside the component function) are initialized once when the module loads and persist for the module's lifetime, shared by all component instances in that file. Unlike useRef or useState, they do not reset on mount or unmount. This makes them appropriate for resources where per-instance initialization would break the invariant the resource is meant to provide.	`let globalStreamCounter = 0` placed outside the ChatPanel component ensures that Panel A's first stream gets ID 1 and Panel B's simultaneous first stream gets ID 2, rather than both getting ID 1 as they would with per-instance refs.
3fe324ab-d6b2-47f7-ac70-9a8cb77232bd	Functional Correctness vs. Resource Correctness	When reviewing defensive guards or filters in event-driven or IPC systems — any time an early-return or filter masks the effects of an underlying resource management problem.	A guard that prevents incorrect behavior (e.g., ignoring chunks with the wrong stream ID) addresses functional correctness: outputs are right. It does not address resource correctness: whether listeners, handles, timers, or memory are properly acquired and released. These are orthogonal properties. A system can be functionally correct while leaking resources, and the guard itself can obscure the leak by making the stale resource appear harmless.	The streamId filter in ChatPanel meant that stale IPC listeners never caused wrong messages to appear, hiding the fact that dozens of listeners were accumulating. The leak was only visible by inspecting listener counts, not by observing rendered output.
af091c43-d79a-4097-92eb-c12bb7897fe8	Return-a-Cleanup Registration Pattern	When designing any API that registers a listener, subscription, or callback, especially in environments like Electron IPC, Node EventEmitter, or browser event targets where the caller controls the lifetime of the registration.	Instead of requiring callers to separately call a remove/off/unsubscribe function with the same arguments as the registration call, the registration function itself returns a zero-argument cleanup function that captures the exact listener reference internally. This eliminates the need for the caller to store the listener reference and makes correct cleanup the path of least resistance — the caller only needs to call the returned function at the appropriate lifecycle point.	Changing `api.onChatChunk(cb)` from returning nothing to returning `() => ipcRenderer.removeListener('chat:chunk', wrapped)` let the ChatPanel call `const remove = api.onChatChunk(handler)` and then call `remove()` inside finish() without needing to track or re-reference the internal wrapped listener.
802b1f93-3cf5-4c81-ad5b-0a408dea6e08	Absolute Binary Resolution for Sandboxed Spawners	Any time you need to spawn an external process from an environment that does not inherit the user's interactive shell PATH, such as Electron's main process, CI runners, or system daemons.	Instead of relying on PATH lookup or shell resolution, you enumerate the filesystem directly to find the exact binary you need. For runtimes like Node managed by nvm, you scan the known versions directory, sort semantically, and select the appropriate version's absolute path. For project-local tools, you construct the path directly from node_modules/.bin. This approach is deterministic and portable across machines regardless of shell configuration.	In Electron, rather than spawning `npm run dev` with shell: true, the solution scanned ~/.nvm/versions/node/, sorted descending, took the highest version's node binary, and constructed the full path to .bin/next — making the spawn work identically on any developer's machine regardless of their shell or nvm setup.
c7a3e08c-301b-4245-94ab-9c9173128bb4	Port Eviction Before Respawn	Whenever a long-lived process you own may restart quickly and needs to re-bind a network port, especially when the process can be killed externally or crash unexpectedly.	Child processes do not release their resources atomically when a parent dies — there is a window where the child still holds the port. Instead of assuming the port is free, you actively evict any occupant before binding it again. Running a synchronous `lsof -ti :<port> | xargs kill -9` before each spawn converts a probabilistic race condition into a deterministic clean state. This also defends against any previous instance that was orphaned by a crash rather than a clean shutdown.	In the Electron agent, fast restarts produced EADDRINUSE errors that appeared to be spawn configuration bugs. Adding a synchronous lsof kill step at the top of startServer() before every spawn eliminated the race condition entirely, regardless of how quickly the app was restarted.
ad786d4a-89fb-4dca-af07-0189ad56cc7b	Default-Feature Suspicion When Error Messages Are Opaque	When a tool produces an error that doesn't obviously map to your code changes, especially after a major version upgrade where defaults may have changed.	Framework and tooling major versions sometimes change which subsystem runs by default. When an error message points to a filesystem or environmental constraint you did not deliberately introduce, consider whether a new default feature — rather than your code — is responsible. Check the changelog or defaults for the current version and test whether explicitly disabling the new default resolves the error.	Next.js 16.1.1 silently switched the default bundler to Turbopack. The error 'Symlink node_modules is invalid' gave no indication that Turbopack was involved. Recognizing that the default had changed and passing `--webpack` to explicitly opt out immediately resolved the crash.
965422d7-c0d2-49c6-8b9b-30ced2ca3337	Layered Environment Isolation Debugging	When a spawn or subprocess failure has multiple compounding causes that each appear independently plausible, making it hard to determine which fix is sufficient.	Treat each environmental layer — binary resolution, runtime version, filesystem layout, network resource availability — as an independent variable to validate in sequence. Fix and confirm one layer before moving to the next, because a partial fix may mask or expose a different underlying problem. Document each symptom-to-cause mapping explicitly so that apparent fixes that only address symptoms (like adding nvm to PATH) are recognized as incomplete before being committed.	In this problem, five distinct issues compounded: missing node_modules, Turbopack symlink rejection, missing PATH, wrong Node version via shebang, and port conflicts. Fixing PATH to find npm appeared to work but exposed the Node version problem. Only by treating each layer separately and verifying independently was the full solution reached.
389ca630-262b-499a-8745-e370957cc4c6	DOM-as-Ground-Truth Observer Pattern	When you need to keep an external system (native overlay, canvas, iframe, third-party widget) synchronized with an element whose size changes via CSS transitions or animations.	Instead of computing expected size in JS and pushing it to the external system, attach a ResizeObserver to the DOM element and let the browser report actual layout size on every change. Because the observer reads real geometry after layout, it is always correct regardless of what caused the resize — drag, CSS transition, flexbox reflow, or window resize. This eliminates duplicated timing and easing logic.	In the Electron dashboard, a ResizeObserver on the preview-pane container fires on every frame of the CSS width transition and calls `setBounds` with the observed rect, keeping the native WebContentsView perfectly in sync without any animation callbacks.
74071a79-0259-48da-9f69-fc4416ad0545	Snap-to-Threshold Collapse	When a UI panel or drawer can be dragged to resize and you want collapse to feel intentional rather than accidental.	Define a snap threshold partway through the 'illegal' zone — typically at half the minimum allowed width. If the user drags past the minimum but not past the threshold, clamp back to the minimum. Only snap to fully collapsed once they cross the threshold. This two-zone model means a small accidental overshoot bounces back, while a deliberate drag completes the collapse.	The agent dashboard snaps a panel to collapsed only when the computed drag width falls below `minWidth / 2`, preventing a panel from accidentally collapsing on a small overshoot past the minimum.
d52afe2b-6470-4494-94d9-0addd9c61406	Window-Level Drag Capture	Whenever you implement any drag interaction using raw mouse events on a specific DOM element.	On `mousedown`, record initial state and attach `mousemove` and `mouseup` listeners to `window` (not the handle element). The window receives all pointer events regardless of which element the cursor is over, so fast movement that exits the handle does not drop the drag. On `mouseup`, clean up both listeners to avoid memory leaks and ghost drags.	The resize handle's `onMouseDown` attaches `window` listeners for `mousemove` (to compute delta and update width) and `mouseup` (to clean up), ensuring drag tracking is never interrupted even when the cursor races ahead of the handle.
5954bf55-d00d-4077-8c08-aa263fca1cac	Orthogonal Persistence Keys for Compound State	When persisting UI state that has multiple independent dimensions — such as a panel's size and its open/closed status — to local storage or any key-value store.	Store each logically independent dimension under its own key rather than serializing them together. This allows each dimension to evolve independently: the panel can be collapsed without overwriting its remembered width, and re-expanding restores the exact prior size. Coupling them into one value forces a read-modify-write cycle and risks one dimension stomping the other.	The `usePanelResize` hook stores width under `<key>:width` and collapsed state under `<key>:collapsed` in localStorage, so collapsing a panel never clears the user's last custom width and re-expanding always restores it.
0d3d7182-d521-4862-bf08-0adea19a5405	Native Compositing Layer Boundary	When a UI element appears invisible or mis-stacked despite correct CSS z-index values, especially in hybrid native/web environments like Electron.	Operating systems composite UI from multiple independent layers. Native views (such as Electron's WebContentsView) exist on a separate OS-managed layer that is always placed above web renderer content. CSS z-index only controls ordering within a single renderer context and has no authority across this boundary — the fix must be architectural, not stylistic.	In Electron, a WebContentsView displaying a Next.js preview was always rendered above popovers in the main renderer, regardless of z-index. The solution was to hide the WebContentsView via IPC when any overlay opened, rather than attempting any CSS fix.
d2f1c217-2389-4573-81b5-79941d1751a3	Mount/Unmount as Open/Close Lifecycle Proxy	When you need to trigger side effects on the open and close of a conditionally rendered or portaled UI component without access to explicit open/close events.	If a component is only mounted while it is 'active' (open, visible, selected), React's mount and unmount lifecycle events are exact proxies for open and close. A `useEffect` with an empty dependency array runs on mount (open) and its cleanup runs on unmount (close), eliminating the need for prop-drilling or event subscription.	In `PopoverContent`, which is only mounted while the popover is open, `useEffect(() => { hidePreview(); return () => showPreview(); }, [])` hides the native view on open and restores it on close without any explicit state or event wiring.
cc0f354b-0f31-4efd-9003-b6a6e0047803	Shared Component as Single Fix Point	When a cross-cutting behavioral fix needs to apply to every instance of a UI pattern across an application, now and in the future.	Identify the lowest shared abstraction that all instances of the pattern pass through. Implement the fix there exactly once. This ensures consistent behavior, eliminates per-callsite repetition, and automatically covers future additions — as long as they use the same shared component.	Rather than adding hide/show IPC calls to every individual popover in the Electron dashboard, the logic was added once to the shared `PopoverContent` component, covering all existing and future popovers automatically.
0cb288f2-6ca4-48cc-9144-f04404dfb496	Eliminate CSS Before Escalating Diagnosis	When a visual layering or stacking bug does not respond to z-index, stacking context, or isolation adjustments as expected.	CSS z-index and stacking context are well-defined within a browser renderer, so if manipulating them has no effect, the root cause is almost certainly outside the CSS model — likely a native layer, iframe boundary, or compositor behavior. Confirming this early prevents wasted effort on CSS-only solutions and redirects investigation to the correct layer.	Overlays in the Electron dashboard had correct z-index values but remained invisible. Recognizing that CSS adjustments had no effect pointed directly to the WebContentsView as a native compositing layer, and the investigation shifted to IPC-based visibility toggling.
